Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
RCB,KKR,KKR,140 runs,Bengaluru,"Apr 18, 2008",T20
Kings XI,Super Kings,Super Kings,33 runs,Mohali,"Apr 19, 2008",T20
Daredevils,Royals,Daredevils,9 wickets,Delhi,"Apr 19, 2008",T20
KKR,Chargers,KKR,5 wickets,Kolkata,"Apr 20, 2008",T20
Mum Indians,RCB,RCB,5 wickets,Mumbai,"Apr 20, 2008",T20
Royals,Kings XI,Royals,6 wickets,Jaipur,"Apr 21, 2008",T20
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),"Apr 22, 2008",T20
Super Kings,Mum Indians,Super Kings,6 runs,Chennai,"Apr 23, 2008",T20
Chargers,Royals,Royals,3 wickets,Hyderabad (Deccan),"Apr 24, 2008",T20
Kings XI,Mum Indians,Kings XI,66 runs,Mohali,"Apr 25, 2008",T20
Super Kings,KKR,Super Kings,9 wickets,Chennai,"Apr 26, 2008",T20
RCB,Royals,Royals,7 wickets,Bengaluru,"Apr 26, 2008",T20
Kings XI,Daredevils,Kings XI,4 wickets,Mohali,"Apr 27, 2008",T20
Mum Indians,Chargers,Chargers,10 wickets,Mumbai,"Apr 27, 2008",T20
RCB,Super Kings,Super Kings,13 runs,Bengaluru,"Apr 28, 2008",T20
KKR,Mum Indians,Mum Indians,7 wickets,Kolkata,"Apr 29, 2008",T20
Daredevils,RCB,Daredevils,10 runs,Delhi,"Apr 30, 2008",T20
Royals,KKR,Royals,45 runs,Jaipur,"May 1, 2008",T20
Chargers,Kings XI,Kings XI,7 wickets,Hyderabad (Deccan),"May 1, 2008",T20
Super Kings,Daredevils,Daredevils,8 wickets,Chennai,"May 2, 2008",T20
RCB,Chargers,RCB,3 runs,Bengaluru,"May 3, 2008",T20
Kings XI,KKR,Kings XI,9 runs,Mohali,"May 3, 2008",T20
Mum Indians,Daredevils,Mum Indians,29 runs,Mumbai,"May 4, 2008",T20
Royals,Super Kings,Royals,8 wickets,Jaipur,"May 4, 2008",T20
RCB,Kings XI,Kings XI,6 wickets,Bengaluru,"May 5, 2008",T20
Super Kings,Chargers,Chargers,7 wickets,Chennai,"May 6, 2008",T20
Mum Indians,Royals,Mum Indians,7 wickets,Mumbai,"May 7, 2008",T20
Daredevils,Super Kings,Super Kings,4 wickets,Delhi,"May 8, 2008",T20
KKR,RCB,KKR,5 runs,Kolkata,"May 8, 2008",T20
Royals,Chargers,Royals,8 wickets,Jaipur,"May 9, 2008",T20
Super Kings,Kings XI,Super Kings,18 runs,Chennai,"May 10, 2008",T20
Chargers,KKR,KKR,23 runs,Hyderabad (Deccan),"May 11, 2008",T20
Royals,Daredevils,Royals,3 wickets,Jaipur,"May 11, 2008",T20
Kings XI,RCB,Kings XI,9 wickets,Mohali,"May 12, 2008",T20
KKR,Daredevils,KKR,23 runs,Kolkata,"May 13, 2008",T20
Mum Indians,Super Kings,Mum Indians,9 wickets,Mumbai,"May 14, 2008",T20
Daredevils,Chargers,Daredevils,12 runs,Delhi,"May 15, 2008",T20
Mum Indians,KKR,Mum Indians,8 wickets,Mumbai,"May 16, 2008",T20
Royals,RCB,Royals,65 runs,Jaipur,"May 17, 2008",T20
Daredevils,Kings XI,Kings XI,6 runs,Delhi,"May 17, 2008",T20
KKR,Super Kings,Super Kings,3 runs,Kolkata,"May 18, 2008",T20
Chargers,Mum Indians,Mum Indians,25 runs,Hyderabad (Deccan),"May 18, 2008",T20
RCB,Daredevils,Daredevils,5 wickets,Bengaluru,"May 19, 2008",T20
KKR,Royals,Royals,6 wickets,Kolkata,"May 20, 2008",T20
Mum Indians,Kings XI,Kings XI,1 run,Mumbai,"May 21, 2008",T20
Super Kings,RCB,RCB,14 runs,Chennai,"May 21, 2008",T20
Daredevils,KKR,abandoned,,Delhi,"May 22, 2008",T20
Kings XI,Chargers,Kings XI,6 wickets,Mohali,"May 23, 2008",T20
Super Kings,Royals,Royals,10 runs,Chennai,"May 24, 2008",T20
Daredevils,Mum Indians,Daredevils,5 wickets,Delhi,"May 24, 2008",T20
Chargers,RCB,RCB,5 wickets,Hyderabad (Deccan),"May 25, 2008",T20
KKR,Kings XI,KKR,3 wickets,Kolkata,"May 25, 2008",T20
Royals,Mum Indians,Royals,5 wickets,Jaipur,"May 26, 2008",T20
Chargers,Super Kings,Super Kings,7 wickets,Hyderabad (Deccan),"May 27, 2008",T20
RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,"May 28, 2008",T20
Kings XI,Royals,Kings XI,41 runs,Mohali,"May 28, 2008",T20
Daredevils,Royals,Royals,105 runs,Mumbai,"May 30, 2008",T20
Super Kings,Kings XI,Super Kings,9 wickets,Mumbai,"May 31, 2008",T20
Super Kings,Royals,Royals,3 wickets,Mumbai,"Jun 1, 2008",T20
Records includes the following current or recent matches:
Twenty20
Twenty20
Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Super Kings,Mum Indians,Mum Indians,19 runs,Cape Town,"Apr 18, 2009",T20
RCB,Royals,RCB,75 runs,Cape Town,"Apr 18, 2009",T20
Daredevils,Kings XI,Daredevils,10 wickets,Cape Town,"Apr 19, 2009",T20
Chargers,KKR,Chargers,8 wickets,Cape Town,"Apr 19, 2009",T20
RCB,Super Kings,Super Kings,92 runs,Port Elizabeth,"Apr 20, 2009",T20
Kings XI,KKR,KKR,11 runs,Durban,"Apr 21, 2009",T20
Mum Indians,Royals,abandoned,,Durban,"Apr 21, 2009",T20
RCB,Chargers,Chargers,24 runs,Cape Town,"Apr 22, 2009",T20
Super Kings,Daredevils,Daredevils,9 runs,Durban,"Apr 23, 2009",T20
KKR,Royals,tied,,Cape Town,"Apr 23, 2009",T20
RCB,Kings XI,Kings XI,7 wickets,Durban,"Apr 24, 2009",T20
Chargers,Mum Indians,Chargers,12 runs,Durban,"Apr 25, 2009",T20
Super Kings,KKR,abandoned,,Cape Town,"Apr 25, 2009",T20
RCB,Daredevils,Daredevils,6 wickets,Port Elizabeth,"Apr 26, 2009",T20
Kings XI,Royals,Kings XI,27 runs,Cape Town,"Apr 26, 2009",T20
Super Kings,Chargers,Chargers,6 wickets,Durban,"Apr 27, 2009",T20
KKR,Mum Indians,Mum Indians,92 runs,Port Elizabeth,"Apr 27, 2009",T20
Daredevils,Royals,Royals,5 wickets,Centurion,"Apr 28, 2009",T20
RCB,KKR,RCB,5 wickets,Durban,"Apr 29, 2009",T20
Kings XI,Mum Indians,Kings XI,3 runs,Durban,"Apr 29, 2009",T20
Chargers,Daredevils,Daredevils,6 wickets,Centurion,"Apr 30, 2009",T20
Super Kings,Royals,Super Kings,38 runs,Centurion,"Apr 30, 2009",T20
KKR,Mum Indians,Mum Indians,9 runs,East London,"May 1, 2009",T20
RCB,Kings XI,RCB,8 runs,Durban,"May 1, 2009",T20
Chargers,Royals,Royals,3 wickets,Port Elizabeth,"May 2, 2009",T20
Super Kings,Daredevils,Super Kings,18 runs,Johannesburg,"May 2, 2009",T20
Kings XI,KKR,Kings XI,6 wickets,Port Elizabeth,"May 3, 2009",T20
RCB,Mum Indians,RCB,9 wickets,Johannesburg,"May 3, 2009",T20
Super Kings,Chargers,Super Kings,78 runs,East London,"May 4, 2009",T20
Kings XI,Royals,Royals,78 runs,Durban,"May 5, 2009",T20
Daredevils,KKR,Daredevils,9 wickets,Durban,"May 5, 2009",T20
Chargers,Mum Indians,Chargers,19 runs,Centurion,"May 6, 2009",T20
RCB,Royals,Royals,7 wickets,Centurion,"May 7, 2009",T20
Super Kings,Kings XI,Super Kings,12 runs,Centurion,"May 7, 2009",T20
Daredevils,Mum Indians,Daredevils,7 wickets,East London,"May 8, 2009",T20
Chargers,Kings XI,Kings XI,3 wickets,Kimberley,"May 9, 2009",T20
Super Kings,Royals,Super Kings,7 wickets,Kimberley,"May 9, 2009",T20
RCB,Mum Indians,Mum Indians,16 runs,Port Elizabeth,"May 10, 2009",T20
Daredevils,KKR,Daredevils,7 wickets,Johannesburg,"May 10, 2009",T20
Chargers,Royals,Chargers,53 runs,Kimberley,"May 11, 2009",T20
RCB,KKR,RCB,6 wickets,Centurion,"May 12, 2009",T20
Kings XI,Mum Indians,Mum Indians,8 wickets,Centurion,"May 12, 2009",T20
Chargers,Daredevils,Daredevils,12 runs,Durban,"May 13, 2009",T20
RCB,Super Kings,RCB,2 wickets,Durban,"May 14, 2009",T20
Mum Indians,Royals,Royals,2 runs,Durban,"May 14, 2009",T20
Daredevils,Kings XI,Kings XI,6 wickets,Bloemfontein,"May 15, 2009",T20
Super Kings,Mum Indians,Super Kings,7 wickets,Port Elizabeth,"May 16, 2009",T20
Chargers,KKR,Chargers,6 wickets,Johannesburg,"May 16, 2009",T20
Chargers,Kings XI,Kings XI,1 run,Johannesburg,"May 17, 2009",T20
Daredevils,Royals,Daredevils,14 runs,Bloemfontein,"May 17, 2009",T20
Super Kings,KKR,KKR,7 wickets,Centurion,"May 18, 2009",T20
RCB,Daredevils,RCB,7 wickets,Johannesburg,"May 19, 2009",T20
KKR,Royals,KKR,4 wickets,Durban,"May 20, 2009",T20
Super Kings,Kings XI,Super Kings,24 runs,Durban,"May 20, 2009",T20
Daredevils,Mum Indians,Daredevils,4 wickets,Centurion,"May 21, 2009",T20
RCB,Chargers,RCB,12 runs,Centurion,"May 21, 2009",T20
Chargers,Daredevils,Chargers,6 wickets,Centurion,"May 22, 2009",T20
Super Kings,RCB,RCB,6 wickets,Johannesburg,"May 23, 2009",T20
Chargers,RCB,Chargers,6 runs,Johannesburg,"May 24, 2009",T20
Records includes the following current or recent matches:
Twenty20
Twenty20
Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Chargers,KKR,KKR,11 runs,Mumbai,"Mar 12, 2010",T20
Mum Indians,Royals,Mum Indians,4 runs,Mumbai (BS),"Mar 13, 2010",T20
Kings XI,Daredevils,Daredevils,5 wickets,Mohali,"Mar 13, 2010",T20
KKR,RCB,KKR,7 wickets,Kolkata,"Mar 14, 2010",T20
Super Kings,Chargers,Chargers,31 runs,Chennai,"Mar 14, 2010",T20
Royals,Daredevils,Daredevils,6 wickets,Ahmedabad,"Mar 15, 2010",T20
RCB,Kings XI,RCB,8 wickets,Bengaluru,"Mar 16, 2010",T20
KKR,Super Kings,Super Kings,55 runs,Kolkata,"Mar 16, 2010",T20
Daredevils,Mum Indians,Mum Indians,98 runs,Delhi,"Mar 17, 2010",T20
RCB,Royals,RCB,10 wickets,Bengaluru,"Mar 18, 2010",T20
Daredevils,Super Kings,Super Kings,5 wickets,Delhi,"Mar 19, 2010",T20
Chargers,Kings XI,Chargers,6 runs,Cuttack,"Mar 19, 2010",T20
Royals,KKR,Royals,34 runs,Ahmedabad,"Mar 20, 2010",T20
Mum Indians,RCB,RCB,7 wickets,Mumbai (BS),"Mar 20, 2010",T20
Chargers,Daredevils,Chargers,10 runs,Cuttack,"Mar 21, 2010",T20
Super Kings,Kings XI,tied,,Chennai,"Mar 21, 2010",T20
Mum Indians,KKR,Mum Indians,7 wickets,Mumbai (BS),"Mar 22, 2010",T20
RCB,Super Kings,RCB,36 runs,Bengaluru,"Mar 23, 2010",T20
Kings XI,Royals,Royals,31 runs,Mohali,"Mar 24, 2010",T20
RCB,Daredevils,Daredevils,17 runs,Bengaluru,"Mar 25, 2010",T20
Mum Indians,Super Kings,Mum Indians,5 wickets,Mumbai (BS),"Mar 25, 2010",T20
Royals,Chargers,Royals,8 wickets,Ahmedabad,"Mar 26, 2010",T20
Kings XI,KKR,KKR,39 runs,Mohali,"Mar 27, 2010",T20
Royals,Super Kings,Royals,17 runs,Ahmedabad,"Mar 28, 2010",T20
Chargers,Mum Indians,Mum Indians,41 runs,Mumbai,"Mar 28, 2010",T20
Daredevils,KKR,Daredevils,40 runs,Delhi,"Mar 29, 2010",T20
Mum Indians,Kings XI,Mum Indians,4 wickets,Mumbai (BS),"Mar 30, 2010",T20
Super Kings,RCB,Super Kings,5 wickets,Chennai,"Mar 31, 2010",T20
Daredevils,Royals,Daredevils,67 runs,Delhi,"Mar 31, 2010",T20
KKR,Chargers,KKR,24 runs,Kolkata,"Apr 1, 2010",T20
Kings XI,RCB,RCB,6 wickets,Mohali,"Apr 2, 2010",T20
Super Kings,Royals,Super Kings,23 runs,Chennai,"Apr 3, 2010",T20
Mum Indians,Chargers,Mum Indians,63 runs,Mumbai (BS),"Apr 3, 2010",T20
KKR,Kings XI,Kings XI,8 wickets,Kolkata,"Apr 4, 2010",T20
Daredevils,RCB,Daredevils,37 runs,Delhi,"Apr 4, 2010",T20
Chargers,Royals,Royals,2 runs,Nagpur,"Apr 5, 2010",T20
Super Kings,Mum Indians,Super Kings,24 runs,Chennai,"Apr 6, 2010",T20
Royals,Kings XI,Royals,9 wickets,Jaipur,"Apr 7, 2010",T20
KKR,Daredevils,KKR,14 runs,Kolkata,"Apr 7, 2010",T20
RCB,Chargers,Chargers,7 wickets,Bengaluru,"Apr 8, 2010",T20
Kings XI,Mum Indians,Kings XI,6 wickets,Mohali,"Apr 9, 2010",T20
Chargers,Super Kings,Chargers,6 wickets,Nagpur,"Apr 10, 2010",T20
RCB,KKR,RCB,7 wickets,Bengaluru,"Apr 10, 2010",T20
Daredevils,Kings XI,Kings XI,7 wickets,Delhi,"Apr 11, 2010",T20
Royals,Mum Indians,Mum Indians,37 runs,Jaipur,"Apr 11, 2010",T20
Chargers,RCB,Chargers,13 runs,Nagpur,"Apr 12, 2010",T20
Mum Indians,Daredevils,Mum Indians,39 runs,Mumbai (BS),"Apr 13, 2010",T20
Super Kings,KKR,Super Kings,9 wickets,Chennai,"Apr 13, 2010",T20
Royals,RCB,RCB,5 wickets,Jaipur,"Apr 14, 2010",T20
Super Kings,Daredevils,Daredevils,6 wickets,Chennai,"Apr 15, 2010",T20
Kings XI,Chargers,Chargers,5 wickets,Dharamsala,"Apr 16, 2010",T20
RCB,Mum Indians,Mum Indians,57 runs,Bengaluru,"Apr 17, 2010",T20
KKR,Royals,KKR,8 wickets,Kolkata,"Apr 17, 2010",T20
Kings XI,Super Kings,Super Kings,6 wickets,Dharamsala,"Apr 18, 2010",T20
Daredevils,Chargers,Chargers,11 runs,Delhi,"Apr 18, 2010",T20
KKR,Mum Indians,KKR,9 wickets,Kolkata,"Apr 19, 2010",T20
Mum Indians,RCB,Mum Indians,35 runs,Mumbai,"Apr 21, 2010",T20
Super Kings,Chargers,Super Kings,38 runs,Mumbai,"Apr 22, 2010",T20
Chargers,RCB,RCB,9 wickets,Mumbai,"Apr 24, 2010",T20
Mum Indians,Super Kings,Super Kings,22 runs,Mumbai,"Apr 25, 2010",T20
Records includes the following current or recent matches:
Twenty20
Twenty20
Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Super Kings,KKR,Super Kings,2 runs,Chennai,"Apr 8, 2011",T20
Chargers,Royals,Royals,8 wickets,Hyderabad (Deccan),"Apr 9, 2011",T20
Kochi,RCB,RCB,6 wickets,Kochi,"Apr 9, 2011",T20
Daredevils,Mum Indians,Mum Indians,8 wickets,Delhi,"Apr 10, 2011",T20
Warriors,Kings XI,Warriors,7 wickets,Mumbai,"Apr 10, 2011",T20
KKR,Chargers,KKR,9 runs,Kolkata,"Apr 11, 2011",T20
Royals,Daredevils,Royals,6 wickets,Jaipur,"Apr 12, 2011",T20
RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,"Apr 12, 2011",T20
Kings XI,Super Kings,Kings XI,6 wickets,Mohali,"Apr 13, 2011",T20
Warriors,Kochi,Warriors,4 wickets,Mumbai,"Apr 13, 2011",T20
Chargers,RCB,Chargers,33 runs,Hyderabad (Deccan),"Apr 14, 2011",T20
Royals,KKR,KKR,9 wickets,Jaipur,"Apr 15, 2011",T20
Mum Indians,Kochi,Kochi,8 wickets,Mumbai,"Apr 15, 2011",T20
Super Kings,RCB,Super Kings,21 runs,Chennai,"Apr 16, 2011",T20
Chargers,Kings XI,Kings XI,8 wickets,Hyderabad (Deccan),"Apr 16, 2011",T20
Warriors,Daredevils,Daredevils,3 wickets,Mumbai,"Apr 17, 2011",T20
KKR,Royals,KKR,8 wickets,Kolkata,"Apr 17, 2011",T20
Kochi,Super Kings,Kochi,7 wickets,Kochi,"Apr 18, 2011",T20
Daredevils,Chargers,Chargers,16 runs,Delhi,"Apr 19, 2011",T20
RCB,Royals,abandoned,,Bengaluru,"Apr 19, 2011",T20
Mum Indians,Warriors,Mum Indians,7 wickets,Mumbai,"Apr 20, 2011",T20
KKR,Kochi,Kochi,6 runs,Kolkata,"Apr 20, 2011",T20
Kings XI,Royals,Kings XI,48 runs,Mohali,"Apr 21, 2011",T20
KKR,RCB,RCB,9 wickets,Kolkata,"Apr 22, 2011",T20
Mum Indians,Super Kings,Mum Indians,8 runs,Mumbai,"Apr 22, 2011",T20
Daredevils,Kings XI,Daredevils,29 runs,Delhi,"Apr 23, 2011",T20
Chargers,Mum Indians,Mum Indians,37 runs,Hyderabad (Deccan),"Apr 24, 2011",T20
Royals,Kochi,Royals,8 wickets,Jaipur,"Apr 24, 2011",T20
Super Kings,Warriors,Super Kings,25 runs,Chennai,"Apr 25, 2011",T20
Daredevils,RCB,RCB,3 wickets,Delhi,"Apr 26, 2011",T20
Warriors,Super Kings,Super Kings,8 wickets,Mumbai,"Apr 27, 2011",T20
Kochi,Chargers,Chargers,55 runs,Kochi,"Apr 27, 2011",T20
Daredevils,KKR,KKR,17 runs,Delhi,"Apr 28, 2011",T20
Royals,Mum Indians,Royals,7 wickets,Jaipur,"Apr 29, 2011",T20
RCB,Warriors,RCB,26 runs,Bengaluru,"Apr 29, 2011",T20
Kochi,Daredevils,Daredevils,38 runs,Kochi,"Apr 30, 2011",T20
KKR,Kings XI,KKR,8 wickets,Kolkata,"Apr 30, 2011",T20
Royals,Warriors,Royals,6 wickets,Jaipur,"May 1, 2011",T20
Super Kings,Chargers,Super Kings,19 runs,Chennai,"May 1, 2011",T20
Mum Indians,Kings XI,Mum Indians,23 runs,Mumbai,"May 2, 2011",T20
Daredevils,Kochi,Kochi,7 wickets,Delhi,"May 2, 2011",T20
Chargers,KKR,KKR,20 runs,Hyderabad (Deccan),"May 3, 2011",T20
Super Kings,Royals,Super Kings,8 wickets,Chennai,"May 4, 2011",T20
Warriors,Mum Indians,Mum Indians,21 runs,Mumbai,"May 4, 2011",T20
Kochi,KKR,Kochi,17 runs,Kochi,"May 5, 2011",T20
Chargers,Daredevils,Daredevils,4 wickets,Hyderabad (Deccan),"May 5, 2011",T20
RCB,Kings XI,RCB,85 runs,Bengaluru,"May 6, 2011",T20
KKR,Super Kings,KKR,10 runs,Kolkata,"May 7, 2011",T20
Mum Indians,Daredevils,Mum Indians,32 runs,Mumbai,"May 7, 2011",T20
RCB,Kochi,RCB,9 wickets,Bengaluru,"May 8, 2011",T20
Kings XI,Warriors,Warriors,5 wickets,Mohali,"May 8, 2011",T20
Royals,Super Kings,Super Kings,63 runs,Jaipur,"May 9, 2011",T20
Chargers,Warriors,Warriors,6 wickets,Hyderabad (Deccan),"May 10, 2011",T20
Kings XI,Mum Indians,Kings XI,76 runs,Mohali,"May 10, 2011",T20
Royals,RCB,RCB,9 wickets,Jaipur,"May 11, 2011",T20
Super Kings,Daredevils,Super Kings,18 runs,Chennai,"May 12, 2011",T20
Kochi,Kings XI,Kings XI,6 wickets,Indore,"May 13, 2011",T20
RCB,KKR,RCB,4 wickets,Bengaluru,"May 14, 2011",T20
Mum Indians,Chargers,Chargers,10 runs,Mumbai,"May 14, 2011",T20
Kings XI,Daredevils,Kings XI,29 runs,Dharamsala,"May 15, 2011",T20
Kochi,Royals,Kochi,8 wickets,Indore,"May 15, 2011",T20
Warriors,Chargers,Chargers,6 wickets,Mumbai,"May 16, 2011",T20
Kings XI,RCB,Kings XI,111 runs,Dharamsala,"May 17, 2011",T20
Super Kings,Kochi,Super Kings,11 runs,Chennai,"May 18, 2011",T20
Warriors,KKR,KKR,7 wickets,Mumbai,"May 19, 2011",T20
Mum Indians,Royals,Royals,10 wickets,Mumbai,"May 20, 2011",T20
Kings XI,Chargers,Chargers,82 runs,Dharamsala,"May 21, 2011",T20
Daredevils,Warriors,no result,,Delhi,"May 21, 2011",T20
RCB,Super Kings,RCB,8 wickets,Bengaluru,"May 22, 2011",T20
KKR,Mum Indians,Mum Indians,5 wickets,Kolkata,"May 22, 2011",T20
Super Kings,RCB,Super Kings,6 wickets,Mumbai,"May 24, 2011",T20
Mum Indians,KKR,Mum Indians,4 wickets,Mumbai,"May 25, 2011",T20
Mum Indians,RCB,RCB,43 runs,Chennai,"May 27, 2011",T20
Super Kings,RCB,Super Kings,58 runs,Chennai,"May 28, 2011",T20
Records includes the following current or recent matches:
Twenty20
Twenty20
Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Super Kings,Mum Indians,Mum Indians,8 wickets,Chennai,"Apr 4, 2012",T20
KKR,Daredevils,Daredevils,8 wickets,Kolkata,"Apr 5, 2012",T20
Mum Indians,Warriors,Warriors,28 runs,Mumbai,"Apr 6, 2012",T20
Royals,Kings XI,Royals,31 runs,Jaipur,"Apr 6, 2012",T20
RCB,Daredevils,RCB,20 runs,Bengaluru,"Apr 7, 2012",T20
Chargers,Super Kings,Super Kings,74 runs,Visakhapatnam,"Apr 7, 2012",T20
Royals,KKR,Royals,22 runs,Jaipur,"Apr 8, 2012",T20
Warriors,Kings XI,Warriors,22 runs,Pune,"Apr 8, 2012",T20
Chargers,Mum Indians,Mum Indians,5 wickets,Visakhapatnam,"Apr 9, 2012",T20
RCB,KKR,KKR,42 runs,Bengaluru,"Apr 10, 2012",T20
Daredevils,Super Kings,Daredevils,8 wickets,Delhi,"Apr 10, 2012",T20
Mum Indians,Royals,Mum Indians,27 runs,Mumbai,"Apr 11, 2012",T20
Super Kings,RCB,Super Kings,5 wickets,Chennai,"Apr 12, 2012",T20
Kings XI,Warriors,Kings XI,7 wickets,Mohali,"Apr 12, 2012",T20
KKR,Royals,KKR,5 wickets,Kolkata,"Apr 13, 2012",T20
Warriors,Super Kings,Warriors,7 wickets,Pune,"Apr 14, 2012",T20
KKR,Kings XI,Kings XI,2 runs,Kolkata,"Apr 15, 2012",T20
RCB,Royals,Royals,59 runs,Bengaluru,"Apr 15, 2012",T20
Mum Indians,Daredevils,Daredevils,7 wickets,Mumbai,"Apr 16, 2012",T20
Royals,Chargers,Royals,5 wickets,Jaipur,"Apr 17, 2012",T20
RCB,Warriors,RCB,6 wickets,Bengaluru,"Apr 17, 2012",T20
Kings XI,KKR,KKR,8 wickets,Mohali,"Apr 18, 2012",T20
Daredevils,Chargers,Daredevils,5 wickets,Delhi,"Apr 19, 2012",T20
Super Kings,Warriors,Super Kings,13 runs,Chennai,"Apr 19, 2012",T20
Kings XI,RCB,RCB,5 wickets,Mohali,"Apr 20, 2012",T20
